Title,Author,Genre,SubGenre,Height,Publisher,Id,Status
"Last Mughal, The","Dalrymple, William",nonfiction,history,199.0,Penguin,74.0,
"Social Choice & Welfare, Vol 39 No. 1",Various,tech,economics,235.0,Springer,75.0,
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,misc,213.0,Mauj,76.0,
Gun Gayin Awadi,"Deshpande, P L",nonfiction,misc,212.0,Mauj,77.0,
Aghal Paghal,"Deshpande, P L",nonfiction,misc,212.0,Mauj,78.0,
Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,poetry,221.0,Mauj,79.0,
Beyond Degrees,,philosophy,education,222.0,HarperCollins,80.0,
Manasa,"Kale, V P",nonfiction,misc,213.0,Mauj,81.0,
India from Midnight to Milennium,"Tharoor, Shashi",nonfiction,history,198.0,Penguin,82.0,
"World's Greatest Trials, The",,nonfiction,history,210.0,,83.0,
"Great Indian Novel, The","Tharoor, Shashi",fiction,novel,198.0,Penguin,84.0,
O Jerusalem!,"Lapierre, Dominique",nonfiction,history,217.0,vikas,85.0,
"City of Joy, The","Lapierre, Dominique",fiction,novel,177.0,vikas,86.0,
Freedom at Midnight,"Lapierre, Dominique",nonfiction,history,167.0,vikas,87.0,
"Winter of Our Discontent, The","Steinbeck, John",fiction,classic,196.0,Penguin,88.0,
On Education,"Russell, Bertrand",philosophy,education,203.0,Routledge,89.0,
Free Will,"Harris, Sam",nonfiction,psychology,203.0,FreePress,90.0,
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,history,206.0,Penguin,91.0,
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,novel,179.0,,92.0,
"Theory of Everything, The","Hawking, Stephen",science,physics,217.0,Jaico,93.0,
New Markets & Other Essays,"Drucker, Peter",science,economics,176.0,Penguin,94.0,
Electric Universe,"Bodanis, David",science,physics,201.0,Penguin,95.0,
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,classic,175.0,Random House,96.0,
Burning Bright,"Steinbeck, John",fiction,classic,175.0,Penguin,97.0,
"Age of Discontuinity, The","Drucker, Peter",nonfiction,economics,178.0,Random House,98.0,
Doctor in the Nude,"Gordon, Richard",fiction,novel,179.0,Penguin,99.0,
Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,179.0,Penguin,100.0,
Identity & Violence,"Sen, Amartya",philosophy,philosophy,219.0,Penguin,101.0,
Beyond the Three Seas,"Dalrymple, William",nonfiction,history,197.0,Random House,102.0,
"World's Greatest Short Stories, The",,fiction,classic,217.0,Jaico,103.0,
Talking Straight,"Iacoca, Lee",nonfiction,autobiography,175.0,,104.0,
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic,171.0,Vintage,105.0,
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic,180.0,,106.0,
Ashenden of The British Agent,"Maugham, William S",fiction,classic,160.0,Vintage,107.0,
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography,172.0,Vintage,108.0,
"Great War for Civilization, The","Fisk, Robert",nonfiction,history,197.0,HarperCollins,109.0,
We the Living,"Rand, Ayn",fiction,novel,178.0,Penguin,110.0,
"Artist and the Mathematician, The","Aczel, Amir",science,mathematics,186.0,HighStakes,111.0,
History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,213.0,Routledge,112.0,
Selected Short Stories,,fiction,classic,215.0,Jaico,113.0,
Rationality & Freedom,"Sen, Amartya",science,economics,213.0,Springer,114.0,
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,228.0,Simon&Schuster,115.0,
Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,197.0,Fontana,116.0,
One,"Bach, Richard",nonfiction,autobiography,172.0,Dell,117.0,
Karl Marx Biography,,nonfiction,autobiography,162.0,,118.0,
To Sir With Love,Braithwaite,fiction,classic,197.0,Penguin,119.0,
Half A Life,"Naipaul, V S",fiction,novel,196.0,,120.0,
"Discovery of India, The","Nehru, Jawaharlal",nonfiction,history,230.0,,121.0,
Apulki,"Deshpande, P L",nonfiction,misc,211.0,,122.0,
Unpopular Essays,"Russell, Bertrand",philosophy,philosophy,198.0,,123.0,
"Deceiver, The","Forsyth, Frederick",fiction,novel,178.0,,124.0,
Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,history,171.0,,125.0,
Char Shabda,"Deshpande, P L",nonfiction,misc,214.0,,126.0,
Rosy is My Relative,"Durrell, Gerald",fiction,novel,176.0,,127.0,
"Moon and Sixpence, The","Maugham, William S",fiction,classic,180.0,,128.0,
Political Philosophers,,philosophy,politics,162.0,,129.0,
"Short History of the World, A","Wells, H G",nonfiction,history,197.0,,130.0,
"Trembling of a Leaf, The","Maugham, William S",fiction,novel,205.0,,131.0,
Doctor on the Brain,"Gordon, Richard",fiction,novel,204.0,,132.0,
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics,233.0,,133.0,
Pattern Classification,"Duda, Hart",tech,data_science,241.0,,134.0,
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history,202.0,,135.0,
"Code Book, The","Singh, Simon",science,mathematics,197.0,,136.0,
"Age of the Warrior, The","Fisk, Robert",nonfiction,history,197.0,,137.0,
Final Crisis,,fiction,comic,257.0,,138.0,
"Killing Joke, The",,fiction,comic,283.0,,139.0,
Flashpoint,,fiction,comic,265.0,,140.0,
Batman Earth One,,fiction,comic,265.0,,141.0,
Crisis on Infinite Earths,,fiction,comic,258.0,,142.0,
"Numbers Behind Numb3rs, The","Devlin, Keith",science,mathematics,202.0,,143.0,
Superman Earth One - 1,,fiction,comic,259.0,,144.0,
Superman Earth One - 2,,fiction,comic,258.0,,145.0,
